RoundNo,ClientNo,Dataset,Accuracy
0,0,test,66.09071274298056
0,1,test,75.45605306799337
0,2,test,67.99410029498524
0,3,test,56.232686980609415
0,4,test,53.41880341880342
0,5,test,55.84415584415584
0,6,test,59.35085007727975
0,7,test,57.8783151326053
0,8,test,58.22102425876011
0,9,test,54.80984340044743
0,10,test,59.21568627450981
0,11,test,57.27109515260323
0,12,test,60.47381546134663
0,13,test,58.53658536585366
0,14,test,67.81456953642385
0,15,test,64.73429951690821
0,16,test,77.22222222222223
0,17,test,68.79084967320262
0,18,test,64.21052631578948
0,19,test,81.30081300813008
0,server,train,41.15
0,server,test,41.28
1,0,test,67.3866090712743
1,1,test,76.45107794361526
1,2,test,69.02654867256638
1,3,test,60.526315789473685
1,4,test,56.55270655270655
1,5,test,54.83405483405483
1,6,test,61.66924265842349
1,7,test,58.81435257410296
1,8,test,58.76010781671159
1,9,test,55.92841163310962
1,10,test,65.49019607843137
1,11,test,59.42549371633752
1,12,test,60.34912718204489
1,13,test,58.048780487804876
1,14,test,67.68211920529801
1,15,test,68.27697262479872
1,16,test,77.63888888888889
1,17,test,67.6470588235294
1,18,test,65.08771929824562
1,19,test,83.06233062330624
1,server,train,45.282
1,server,test,45.33
2,0,test,68.46652267818574
2,1,test,75.787728026534
2,2,test,69.02654867256638
2,3,test,61.0803324099723
2,4,test,59.116809116809115
2,5,test,53.67965367965368
2,6,test,63.21483771251932
2,7,test,58.19032761310452
2,8,test,59.56873315363882
2,9,test,55.92841163310962
2,10,test,61.96078431372549
2,11,test,57.98922800718133
2,12,test,61.97007481296758
2,13,test,57.31707317073171
2,14,test,68.21192052980132
2,15,test,66.34460547504025
2,16,test,79.44444444444444
2,17,test,69.11764705882354
2,18,test,65.6140350877193
2,19,test,82.24932249322494
2,server,train,45.76
2,server,test,45.59
3,0,test,67.60259179265658
3,1,test,76.11940298507463
3,2,test,69.6165191740413
3,3,test,61.634349030470915
3,4,test,59.82905982905983
3,5,test,53.102453102453104
3,6,test,64.2967542503864
3,7,test,58.65834633385335
3,8,test,60.37735849056604
3,9,test,56.82326621923937
3,10,test,66.66666666666667
3,11,test,60.14362657091562
3,12,test,61.09725685785536
3,13,test,58.53658536585366
3,14,test,66.88741721854305
3,15,test,66.66666666666667
3,16,test,79.58333333333333
3,17,test,69.44444444444444
3,18,test,65.26315789473684
3,19,test,81.97831978319783
3,server,train,46.094
3,server,test,46.29
4,0,test,69.97840172786177
4,1,test,76.11940298507463
4,2,test,70.0589970501475
4,3,test,61.0803324099723
4,4,test,58.11965811965812
4,5,test,53.535353535353536
4,6,test,63.3693972179289
4,7,test,60.06240249609984
4,8,test,61.18598382749326
4,9,test,58.61297539149888
4,10,test,63.92156862745098
4,11,test,58.16876122082585
4,12,test,60.34912718204489
4,13,test,57.073170731707314
4,14,test,68.6092715231788
4,15,test,66.98872785829307
4,16,test,78.05555555555556
4,17,test,68.62745098039215
4,18,test,65.26315789473684
4,19,test,82.79132791327913
4,server,train,46.046
4,server,test,46.11
5,0,test,68.03455723542116
5,1,test,76.11940298507463
5,2,test,68.43657817109144
5,3,test,60.664819944598335
5,4,test,60.826210826210826
5,5,test,55.55555555555556
5,6,test,64.14219474497682
5,7,test,59.28237129485179
5,8,test,59.299191374663074
5,9,test,58.165548098434
5,10,test,63.529411764705884
5,11,test,58.16876122082585
5,12,test,63.34164588528678
5,13,test,58.78048780487805
5,14,test,67.81456953642385
5,15,test,68.76006441223832
5,16,test,79.02777777777777
5,17,test,69.44444444444444
5,18,test,66.66666666666667
5,19,test,83.46883468834689
5,server,train,46.416
5,server,test,46.63
6,0,test,69.54643628509719
6,1,test,75.45605306799337
6,2,test,69.91150442477876
6,3,test,60.526315789473685
6,4,test,63.24786324786325
6,5,test,52.525252525252526
6,6,test,62.442040185471406
6,7,test,61.15444617784711
6,8,test,62.80323450134771
6,9,test,56.59955257270693
6,10,test,64.31372549019608
6,11,test,59.42549371633752
6,12,test,61.09725685785536
6,13,test,58.292682926829265
6,14,test,68.74172185430463
6,15,test,68.27697262479872
6,16,test,78.61111111111111
6,17,test,69.28104575163398
6,18,test,69.29824561403508
6,19,test,82.65582655826559
6,server,train,46.442
6,server,test,46.51
7,0,test,67.60259179265658
7,1,test,74.6268656716418
7,2,test,69.46902654867256
7,3,test,62.04986149584487
7,4,test,62.25071225071225
7,5,test,53.39105339105339
7,6,test,63.523956723338486
7,7,test,59.90639625585023
7,8,test,60.107816711590296
7,9,test,57.49440715883669
7,10,test,64.70588235294117
7,11,test,62.29802513464991
7,12,test,61.97007481296758
7,13,test,59.26829268292683
7,14,test,68.21192052980132
7,15,test,67.31078904991948
7,16,test,78.47222222222223
7,17,test,68.13725490196079
7,18,test,66.66666666666667
7,19,test,81.97831978319783
7,server,train,46.45
7,server,test,46.51
8,0,test,68.68250539956803
8,1,test,75.62189054726367
8,2,test,69.6165191740413
8,3,test,61.91135734072022
8,4,test,59.54415954415954
8,5,test,55.122655122655125
8,6,test,64.2967542503864
8,7,test,62.090483619344774
8,8,test,60.91644204851752
8,9,test,57.718120805369125
8,10,test,67.05882352941177
8,11,test,60.861759425493716
8,12,test,59.85037406483791
8,13,test,60.0
8,14,test,69.66887417218543
8,15,test,66.50563607085346
8,16,test,78.61111111111111
8,17,test,69.11764705882354
8,18,test,65.43859649122807
8,19,test,84.28184281842819
8,server,train,46.456
8,server,test,46.65
9,0,test,69.54643628509719
9,1,test,75.45605306799337
9,2,test,70.50147492625369
9,3,test,60.94182825484764
9,4,test,62.535612535612536
9,5,test,54.4011544011544
9,6,test,60.89644513137558
9,7,test,59.28237129485179
9,8,test,62.264150943396224
9,9,test,57.04697986577181
9,10,test,65.88235294117646
9,11,test,62.47755834829444
9,12,test,61.22194513715711
9,13,test,60.48780487804878
9,14,test,69.27152317880795
9,15,test,67.7938808373591
9,16,test,77.63888888888889
9,17,test,68.30065359477125
9,18,test,65.43859649122807
9,19,test,83.73983739837398
9,server,train,46.79
9,server,test,47.55
10,0,test,69.76241900647948
10,1,test,76.9485903814262
10,2,test,69.6165191740413
10,3,test,62.04986149584487
10,4,test,59.116809116809115
10,5,test,54.97835497835498
10,6,test,64.91499227202473
10,7,test,61.31045241809672
10,8,test,60.91644204851752
10,9,test,58.38926174496644
10,10,test,63.92156862745098
10,11,test,59.964093357271096
10,12,test,60.97256857855361
10,13,test,59.02439024390244
10,14,test,69.13907284768212
10,15,test,68.43800322061192
10,16,test,78.05555555555556
10,17,test,69.28104575163398
10,18,test,67.54385964912281
10,19,test,84.55284552845528
10,server,train,46.898
10,server,test,47.11
11,0,test,69.76241900647948
11,1,test,76.28524046434494
11,2,test,69.02654867256638
11,3,test,62.32686980609418
11,4,test,60.68376068376068
11,5,test,54.54545454545455
11,6,test,64.60587326120556
11,7,test,61.31045241809672
11,8,test,60.37735849056604
11,9,test,57.718120805369125
11,10,test,64.70588235294117
11,11,test,60.861759425493716
11,12,test,59.600997506234414
11,13,test,59.26829268292683
11,14,test,70.4635761589404
11,15,test,67.6328502415459
11,16,test,78.19444444444444
11,17,test,69.11764705882354
11,18,test,65.78947368421052
11,19,test,83.87533875338754
11,server,train,46.996
11,server,test,47.46
12,0,test,69.97840172786177
12,1,test,75.62189054726367
12,2,test,68.73156342182891
12,3,test,61.772853185595565
12,4,test,61.25356125356125
12,5,test,55.41125541125541
12,6,test,63.3693972179289
